Quel mot signifie "école" en anglais ?,School,House,Apple,Cat
Quel mot signifie "bonjour" en anglais ?,Hello,Goodbye,Thank you,Sorry
Quel mot signifie "chat" en anglais ?,Cat,Dog,Bird,Fish
Quel mot signifie "merci" en anglais ?,Thank you,Hello,Goodbye,Please
Quel mot signifie "rouge" en anglais ?,Red,Yellow,Blue,Green
Quel mot signifie "manger" en anglais ?,Eat,Drink,Sleep,Run
Quel mot signifie "livre" en anglais ?,Book,Pen,Table,Chair
Quel mot signifie "grand" en anglais ?,Tall,Small,Big,Short
Quel mot signifie "plage" en anglais ?,Beach,River,Forest,Montain
Quel mot signifie "heure" en anglais ?,Hour,Time,Clock,Minute
Quel est le contraire du mot "petit" ?,Grand,Lourd,Rapide,Doux
Quel est la dernière lettre de l'alphabet ?,Z,A,X,W
Quelle est la terminaison correcte pour le verbe "manger" a la troisième personne du singulier au présent de l'indicatif ?,Mange,Manges,Mangez,Mangeant
Quel est le nom de la personne qui écris les livres ?,Auteur,Lecteur,Editeur,Bibliothécaire
Quelle est la terminaison correcte pour le mot "joli" au féminin ?,Jolie,Jole,Jolis,Jolies
Quel est le synonyme du mot "content" ?,Heureux,Triste,Fatigué,Ennuyé
Quelle est la nature grammaticale du mot "arbre" ?,Nom,Adjectif,Verbe,Adverbe
Quel est l'antonyme du mot "rapide" ?,Lent,Haut,Fort,Doux
Quel est le synonyme du mot "effrayant" ?,Terrifiant,Joyeux,Triste,Effet
Quel est l'antonyme du mot "calme" ?,Nerveux,Fou,Triste,Ordinateur
Quelle est la capitale de la France,Paris,Marseille,Lille,Lyon,
Quelle est la capitale de l'Italie,Rome,Naples,Venise,Milan,
Quelle est la capitale de l'Espagne,Madrid,Barcelone,Séville,Buenos Aires ,
Quelle est la capitale de l'Allemagne ,Berlin,Hambourg,Munich,New York,
Quelle est la capitale des Etats Unis,Washington,Los Angeles,New York,Miami,
Quelle est la capitale de la Belgique,Bruxelles,Anvers,Gand,Lille,
Quelle est la capitale de l'Angleterre,Londres,Manchester,Oxford,Édimbourg,
Quelle est la capitale du Portugal,Lisbonne,Porto,Valence,Málaga,
Quelle est la capitale de l'Australie,Canberra,Melbourne,Brisbane,Sydney,
Quelle est la capitale de la Chine,Pékin,Shanghai,-Hong--Kong-,Tokyo,
Combien de côtés a un triangle,3,2,4,5
Combien de côtés a un carré,4,3,7,5
Combien de côtés a un losange,4,5,3,6
Combien de côtés a un pentagone,5,4,7,3
Combien de côtés a un trapèze,4,5,8,7
Combien de côtés a un octogone,8,9,4,6
Combien de côtés a un hexagone,6,8,9,4
Qu'est-ce qu'un quadrilatère qui a 4 côtés de même longueur et 4 angles droits ? ,Un Carré,Un trapèze,Une droite,Un triangle
Qu'est-ce qu'un triangle avec un angle droit (un angle de 90°) ?,Triangle rectangle,Triangle équilatéral,Triangle isocèle,Triangle quelconque
Qu'est-ce qu'un triangle avec les trois côtés de même longueur et les trois angles de même amplitude ? ,Triangle équilatéral,Triangle rectangle,Triangle isocèle,Triangle quelconque
Donner l'année du début de la seconde guerre mondiale,1939,1945,1914,1918
Donner l'année de la fin de la seconde guerre mondiale,1945,1939,1918,1914
Donner l'année du début de la première guerre mondiale,1914,1939,1945,1918
Donner l'année de la fin de la première guerre mondiale,1918,1945,1939,1914
Donner l'année de la chute des deux tours jumelles,2001,2011,1998,1946
Donner l'année du premier pas sur la lune,1969,1923,1996,2001
Donner l'année  du sacre de Napoléon Bonaparte comme Empereur.,1804,2002,1840,1902
Donner l'année de la prise de la Bastille par les révolutionnaires français,1789,1685,1758,1764
Donner l'année de la découverte de l'Amérique,1492,264,1789,1523
Donner l'année du passage à l'euro en France,2002,1998,2018,2005
Quel est le nom de l'astre autour duquel la Terre tourne ?,Soleil,Lune,Mars,Vénus
Quel organe du corps humain est chargé de pomper le sang ?,Coeur,Poumon,Foie,Estomac
Quelle est la force qui attire les objets vers la Terre ?,Gravité,Magnétisme,Electricité ,Pression
-Quel gaz respire--t--on principalement dans l'air ?-,Oxygène,Azote,Dioxyde de carbone,Hydrogène
Quel est le processus par lequel l'eau passe de l'état liquide à l'état gazeux ?,Evaporation,Condensation,Fusion,Solidification
Quelle est la planète la plus proche du soleil ?,Mercure,Vénus,Mars,Jupiter
Quel est l'organe du corps humain responsable de la digestion des aliments ?,Estomac,Foie,Intestin,Cerveau
Quel instrument est utilisé pour mesurer la température ?,Thermomètre,Baromètre,Téléscope,Microscope
Quel processus permet aux plantes de produire leur propre nourriture en utilisant la lumière du soleil ?,Photosynthèse,Respiration,Digestion,Transpiration
-Quelle est la couche externe de la Terre où vivent les plantes et les animaux et les humains ?-,Croûte,Noyau,Manteau,Ecorce